Model 3 : DenseNet121 
batch size = 60 
learning rate = 0.0001 
num_epochs = 100
Epoch 1 | Training Loss: 1.3125785628318787 | Validation Loss: 1.2652158622741698 | Training Accuracy: 18.904998779296875 | Validation Accuracy: 22.000001907348633
Epoch 2 | Training Loss: 1.217584375190735 | Validation Loss: 1.1822162170410155 | Training Accuracy: 22.450000762939453 | Validation Accuracy: 25.10000228881836
Epoch 3 | Training Loss: 1.1310164568901062 | Validation Loss: 1.1092787590026856 | Training Accuracy: 26.405000686645508 | Validation Accuracy: 29.30000114440918
Epoch 4 | Training Loss: 1.0531109552383422 | Validation Loss: 1.0442733764648438 | Training Accuracy: 30.024999618530273 | Validation Accuracy: 31.200000762939453
Epoch 5 | Training Loss: 0.9825433018684387 | Validation Loss: 0.9805122718811036 | Training Accuracy: 32.880001068115234 | Validation Accuracy: 33.20000076293945
Epoch 6 | Training Loss: 0.9165435228347778 | Validation Loss: 0.9204048118591308 | Training Accuracy: 36.07500076293945 | Validation Accuracy: 35.900001525878906
Epoch 7 | Training Loss: 0.8552699359416962 | Validation Loss: 0.8630578079223633 | Training Accuracy: 39.8849983215332 | Validation Accuracy: 40.20000076293945
Epoch 8 | Training Loss: 0.798202603816986 | Validation Loss: 0.8105246391296387 | Training Accuracy: 44.59000015258789 | Validation Accuracy: 43.500003814697266
Epoch 9 | Training Loss: 0.7455642415523529 | Validation Loss: 0.7627263431549072 | Training Accuracy: 49.904998779296875 | Validation Accuracy: 49.20000076293945
Epoch 10 | Training Loss: 0.6962375231742859 | Validation Loss: 0.7202610626220703 | Training Accuracy: 55.8699951171875 | Validation Accuracy: 54.30000305175781
Epoch 11 | Training Loss: 0.6515928850650787 | Validation Loss: 0.6771276988983155 | Training Accuracy: 61.68999481201172 | Validation Accuracy: 60.60000228881836
Epoch 12 | Training Loss: 0.6099291767120362 | Validation Loss: 0.641649040222168 | Training Accuracy: 67.73999786376953 | Validation Accuracy: 64.40000915527344
Epoch 13 | Training Loss: 0.5714841684341431 | Validation Loss: 0.6084094200134277 | Training Accuracy: 72.99500274658203 | Validation Accuracy: 68.0
Epoch 14 | Training Loss: 0.5363568476200103 | Validation Loss: 0.5782872962951661 | Training Accuracy: 77.11000061035156 | Validation Accuracy: 70.80000305175781
