Model 2 : GoogleNet 
batch size = 60 
learning rate = 0.0001 
num_epochs = 100
Epoch 1 | Training Loss: 1.6534731072425843 | Validation Loss: 1.6460048065185546 | Training Accuracy: 18.05500030517578 | Validation Accuracy: 16.10000228881836
Epoch 2 | Training Loss: 1.5571628211021424 | Validation Loss: 1.5427416114807129 | Training Accuracy: 19.094999313354492 | Validation Accuracy: 17.500001907348633
Epoch 3 | Training Loss: 1.457931367301941 | Validation Loss: 1.441373664855957 | Training Accuracy: 21.559999465942383 | Validation Accuracy: 20.0
Epoch 4 | Training Loss: 1.3640417935371398 | Validation Loss: 1.3500472259521485 | Training Accuracy: 24.369998931884766 | Validation Accuracy: 24.100000381469727
Epoch 5 | Training Loss: 1.2777760837554932 | Validation Loss: 1.2669476165771485 | Training Accuracy: 26.655000686645508 | Validation Accuracy: 25.80000114440918
Epoch 6 | Training Loss: 1.197315451145172 | Validation Loss: 1.1886149673461914 | Training Accuracy: 28.270000457763672 | Validation Accuracy: 28.10000228881836
Epoch 7 | Training Loss: 1.1220099461555482 | Validation Loss: 1.1175939254760743 | Training Accuracy: 30.364999771118164 | Validation Accuracy: 28.700000762939453
Epoch 8 | Training Loss: 1.0509884148597717 | Validation Loss: 1.0502621154785157 | Training Accuracy: 32.334999084472656 | Validation Accuracy: 29.900001525878906
Epoch 9 | Training Loss: 0.9839647504806519 | Validation Loss: 0.9839611358642578 | Training Accuracy: 34.36499786376953 | Validation Accuracy: 31.60000228881836
Epoch 10 | Training Loss: 0.9211119714736938 | Validation Loss: 0.9236219329833985 | Training Accuracy: 36.834999084472656 | Validation Accuracy: 34.30000305175781
Epoch 11 | Training Loss: 0.86175610704422 | Validation Loss: 0.8659038238525391 | Training Accuracy: 39.974998474121094 | Validation Accuracy: 38.10000228881836
Epoch 12 | Training Loss: 0.8065266904830932 | Validation Loss: 0.8123359661102295 | Training Accuracy: 44.18000030517578 | Validation Accuracy: 41.000003814697266
Epoch 13 | Training Loss: 0.7547804549217224 | Validation Loss: 0.7613477821350098 | Training Accuracy: 49.119998931884766 | Validation Accuracy: 46.70000076293945
Epoch 14 | Training Loss: 0.7080938170433044 | Validation Loss: 0.7156157341003418 | Training Accuracy: 54.19499969482422 | Validation Accuracy: 52.60000228881836
Epoch 15 | Training Loss: 0.6640745201587677 | Validation Loss: 0.6728874015808105 | Training Accuracy: 59.679996490478516 | Validation Accuracy: 58.10000228881836
Epoch 16 | Training Loss: 0.624288258266449 | Validation Loss: 0.634301929473877 | Training Accuracy: 65.125 | Validation Accuracy: 63.500003814697266
Epoch 17 | Training Loss: 0.5875843626499176 | Validation Loss: 0.5996601867675782 | Training Accuracy: 70.2449951171875 | Validation Accuracy: 68.20000457763672
Epoch 18 | Training Loss: 0.5539831245422363 | Validation Loss: 0.567417839050293 | Training Accuracy: 74.63999938964844 | Validation Accuracy: 73.0
