Model 1 : ResNet50 
batch size = 60 
learning rate = 0.0001 
num_epochs = 100
Epoch 1 | Training Loss: 1.149538097000122 | Validation Loss: 1.0828181953430176 | Training Accuracy: 20.049999237060547 | Validation Accuracy: 24.400001525878906
Epoch 2 | Training Loss: 1.0603722562789917 | Validation Loss: 1.0030552139282227 | Training Accuracy: 26.434999465942383 | Validation Accuracy: 30.000001907348633
Epoch 3 | Training Loss: 0.9843325860977172 | Validation Loss: 0.9389167098999024 | Training Accuracy: 31.029998779296875 | Validation Accuracy: 34.400001525878906
Epoch 4 | Training Loss: 0.9173275266647339 | Validation Loss: 0.8818411293029785 | Training Accuracy: 35.3849983215332 | Validation Accuracy: 36.400001525878906
Epoch 5 | Training Loss: 0.8556182944297791 | Validation Loss: 0.8265110130310058 | Training Accuracy: 38.775001525878906 | Validation Accuracy: 41.80000305175781
Epoch 6 | Training Loss: 0.799284947013855 | Validation Loss: 0.7766817588806152 | Training Accuracy: 43.82499694824219 | Validation Accuracy: 47.500003814697266
Epoch 7 | Training Loss: 0.7472015547752381 | Validation Loss: 0.7300302505493164 | Training Accuracy: 49.00499725341797 | Validation Accuracy: 52.60000228881836
Epoch 8 | Training Loss: 0.6997462460041046 | Validation Loss: 0.6866758975982666 | Training Accuracy: 55.25 | Validation Accuracy: 57.70000076293945
Epoch 9 | Training Loss: 0.656021065711975 | Validation Loss: 0.6480608787536621 | Training Accuracy: 61.30999755859375 | Validation Accuracy: 63.100006103515625
Epoch 10 | Training Loss: 0.6161476407051086 | Validation Loss: 0.6128756790161133 | Training Accuracy: 67.06500244140625 | Validation Accuracy: 68.4000015258789
Epoch 11 | Training Loss: 0.5800052105903626 | Validation Loss: 0.5811564121246338 | Training Accuracy: 72.45999908447266 | Validation Accuracy: 73.5
Epoch 12 | Training Loss: 0.5468123790740966 | Validation Loss: 0.5527707042694092 | Training Accuracy: 76.50499725341797 | Validation Accuracy: 76.70000457763672
Epoch 13 | Training Loss: 0.5170275427341461 | Validation Loss: 0.5263675251007081 | Training Accuracy: 79.60999298095703 | Validation Accuracy: 79.0
Epoch 14 | Training Loss: 0.48952963285446166 | Validation Loss: 0.5019418258666992 | Training Accuracy: 82.19999694824219 | Validation Accuracy: 81.00000762939453
Epoch 15 | Training Loss: 0.4645251739025116 | Validation Loss: 0.48203249549865723 | Training Accuracy: 84.04499816894531 | Validation Accuracy: 83.5
Epoch 16 | Training Loss: 0.4420990594148636 | Validation Loss: 0.46294522285461426 | Training Accuracy: 85.54499816894531 | Validation Accuracy: 82.80000305175781
Epoch 17 | Training Loss: 0.42116929736137393 | Validation Loss: 0.44450242233276366 | Training Accuracy: 86.76499938964844 | Validation Accuracy: 83.30000305175781
Epoch 18 | Training Loss: 0.4012311836242676 | Validation Loss: 0.4295110397338867 | Training Accuracy: 87.47999572753906 | Validation Accuracy: 84.20000457763672
Epoch 19 | Training Loss: 0.3833667251586914 | Validation Loss: 0.4161317596435547 | Training Accuracy: 88.12999725341797 | Validation Accuracy: 84.4000015258789
Epoch 20 | Training Loss: 0.3669329686641693 | Validation Loss: 0.4023646068572998 | Training Accuracy: 88.7699966430664 | Validation Accuracy: 84.0999984741211
Epoch 21 | Training Loss: 0.35131715738773345 | Validation Loss: 0.392630500793457 | Training Accuracy: 88.94999694824219 | Validation Accuracy: 84.70000457763672
Epoch 22 | Training Loss: 0.33668578321933745 | Validation Loss: 0.38371792793273923 | Training Accuracy: 89.41999816894531 | Validation Accuracy: 84.5999984741211
Epoch 23 | Training Loss: 0.32283949847221377 | Validation Loss: 0.37357794380187986 | Training Accuracy: 89.79000091552734 | Validation Accuracy: 85.0
Epoch 24 | Training Loss: 0.3100146154403687 | Validation Loss: 0.36770977210998534 | Training Accuracy: 90.19999694824219 | Validation Accuracy: 85.0
Epoch 25 | Training Loss: 0.29797073335647584 | Validation Loss: 0.3600716552734375 | Training Accuracy: 90.61499786376953 | Validation Accuracy: 84.80000305175781
Epoch 26 | Training Loss: 0.2866335364818573 | Validation Loss: 0.3502385597229004 | Training Accuracy: 90.81499481201172 | Validation Accuracy: 85.4000015258789
Epoch 27 | Training Loss: 0.27512858786582944 | Validation Loss: 0.3463783397674561 | Training Accuracy: 91.20499420166016 | Validation Accuracy: 86.0
Epoch 28 | Training Loss: 0.26435351452827455 | Validation Loss: 0.34329016494750975 | Training Accuracy: 91.63999938964844 | Validation Accuracy: 85.0
Epoch 29 | Training Loss: 0.2540301684379578 | Validation Loss: 0.3387635717391968 | Training Accuracy: 91.79999542236328 | Validation Accuracy: 85.30000305175781
Epoch 30 | Training Loss: 0.24408056231737138 | Validation Loss: 0.3387704601287842 | Training Accuracy: 92.07499694824219 | Validation Accuracy: 85.30000305175781
Epoch 31 | Training Loss: 0.23524991118907929 | Validation Loss: 0.3391209363937378 | Training Accuracy: 92.41999816894531 | Validation Accuracy: 84.9000015258789
Epoch 32 | Training Loss: 0.2258912584066391 | Validation Loss: 0.3350699415206909 | Training Accuracy: 92.73500061035156 | Validation Accuracy: 84.70000457763672
Epoch 33 | Training Loss: 0.21651028094291688 | Validation Loss: 0.33224691581726074 | Training Accuracy: 93.0999984741211 | Validation Accuracy: 85.4000015258789
Epoch 34 | Training Loss: 0.2084604083776474 | Validation Loss: 0.32884250926971437 | Training Accuracy: 93.5 | Validation Accuracy: 85.60000610351562
Epoch 35 | Training Loss: 0.2001906956911087 | Validation Loss: 0.3273024978637695 | Training Accuracy: 93.625 | Validation Accuracy: 85.0
Epoch 36 | Training Loss: 0.19229859528541565 | Validation Loss: 0.32982682037353517 | Training Accuracy: 93.95999908447266 | Validation Accuracy: 85.4000015258789
Epoch 37 | Training Loss: 0.1839576424241066 | Validation Loss: 0.3315757465362549 | Training Accuracy: 94.2249984741211 | Validation Accuracy: 84.0
Epoch 38 | Training Loss: 0.1770921766281128 | Validation Loss: 0.32602491283416746 | Training Accuracy: 94.4749984741211 | Validation Accuracy: 84.9000015258789
Epoch 39 | Training Loss: 0.16880228266119957 | Validation Loss: 0.3312331476211548 | Training Accuracy: 94.78499603271484 | Validation Accuracy: 84.20000457763672
Epoch 40 | Training Loss: 0.1610590423345566 | Validation Loss: 0.33736774253845214 | Training Accuracy: 95.19999694824219 | Validation Accuracy: 84.20000457763672
Epoch 41 | Training Loss: 0.15418362517356873 | Validation Loss: 0.33610284328460693 | Training Accuracy: 95.41999816894531 | Validation Accuracy: 84.5999984741211
Epoch 42 | Training Loss: 0.14725814604759216 | Validation Loss: 0.3330112581253052 | Training Accuracy: 95.69000244140625 | Validation Accuracy: 84.9000015258789
Epoch 43 | Training Loss: 0.14032554556131363 | Validation Loss: 0.3388096857070923 | Training Accuracy: 96.02499389648438 | Validation Accuracy: 84.30000305175781
